Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
33079_at	17	51	32.9	43.25	9	20.6	-4.6	-1
33080_s_at	39.6	98.45	70.1	102.15	66.5	162.85	18.75	60.9
33081_at	-77.6	-143.5	4	-31.15	2.65	-19	-61.5	-86
33082_at	3.75	1.5	8.5	-15.35	10.15	2.1	-8.6	-2.5
33083_at	10.75	-6	45.35	56.25	43.45	33.5	0.4	35.5
33084_at	-9.65	1	23.5	30.75	-24.5	64.25	-15.8	32
33085_at	46.5	72.75	109.15	92.5	77.85	98	75.15	119.5
33086_at	-15.4	-26.25	-42.1	15.5	2.6	103	-4	-12.35
33087_s_at	-37.75	-25	-29.4	-59.85	-27.9	-33.95	-49.85	-59.75
33088_at	-39	-43.7	-62.85	-79	-70.25	-67.75	-33.9	-157.9
33089_s_at	14.9	4.25	22.75	36.1	92.35	87.5	1.5	36.75
33090_at	20.75	28.75	3.6	11.15	1	-5.25	-2.9	-61.5
33091_at	93.15	108.15	123	150	118.75	198.5	58.25	140.85
33092_at	5.6	6.75	14.65	14.6	44.35	39.65	10	27.9
33093_at	8.5	-8	-51.15	-42.75	-4	-25	-11.5	-86.65
33094_s_at	2.25	15.85	7.6	18	38.75	14.15	-1.25	-3.25
33095_i_at	-66.5	-45.5	-55	-83.5	-56.5	-188	-57	-223
33096_r_at	9.4	30.3	40.35	34.35	32.35	56.2	20.25	204.75
33097_at	-0.15	-55	21.4	4.35	38.25	44.5	-1.35	12.4
33098_at	-2.25	12.75	17.9	-1.25	8.6	25.35	5.65	12.65
33099_at	-33.9	-14.25	5.6	8	-12.25	-74.5	-34.75	-169.65
331_at	38.4	18.1	30.25	16.85	52.85	-12.85	1.5	2.65
33100_at	15.5	12.05	48.65	69.25	-13.3	-8.8	-10.75	-22.5
33101_g_at	-0.1	-7.75	29.75	-37.35	154.65	560.3	1196.4	2510.65
33102_at	945.15	774.75	580.95	778.9	156.55	414.25	67.5	118.85
33103_s_at	99	112.3	129.5	196.35	38.25	69.9	-3.95	46.5
33104_at	23.75	33.75	-14.25	8.1	-15.25	-1.25	-15.85	-46
33105_at	219.25	184.5	140	79.65	116.75	259.25	45.85	189.25
33106_at	-5.5	-11	-12.65	-14.75	-32.15	10.75	52.15	8
33107_at	884.1	780.5	496.4	684.75	-11.85	-1.35	-4.75	-43.15
33108_i_at	-30.5	-89	10.5	-22	-59	-170	-72	-96.3
33109_f_at	59	215.25	171.9	189.25	51	73.85	-2.65	-8.5
33110_at	85	95.5	139.75	153.25	96.05	135.15	40.25	92
33111_at	39	91.5	87	99.9	15.5	-2.5	-12	6.95
33112_at	6.65	4	-6.95	3.35	-14.25	-13.75	-1.9	2.75
33113_at	205.65	421	188.75	202.25	340.45	1057.8	158	411
33114_f_at	1.3	2.65	-40.35	-8.25	-5.85	-27.75	-1.55	-19.85
33115_at	13	-22.25	-11.6	12.2	-16.65	-41.75	-9	-34.85
33116_f_at	4517	4712.75	6071.95	8844	6933.5	12690.9	3404.95	5522.25
33117_r_at	1310	1246.15	3171.9	5770.9	4057.25	7169.2	1498.1	2186.5
33118_at	244.6	416.75	-5.5	-3.6	-6	-18.85	-35	-129.85
33119_at	14.6	3.35	7.5	2.9	3.65	6.65	-19.65	5.25
33120_at	88.35	54.5	80.25	56.85	75.25	140.65	21.15	-5.25
33121_g_at	72.1	106.6	11.5	48.1	200.5	556.4	-3	40.5
33122_at	7.25	0.6	31.45	29.25	82	89.5	-1.25	34
33123_at	59.35	117.1	14.35	51.5	24.15	11.7	22.15	-20
33124_at	-3.75	-17	-35.5	-28	96.1	14	-42.1	-73.6
33125_at	45	39.95	106.25	146.85	6.1	41	1.75	35.5
33126_at	72.15	53.95	120.75	165.25	15.1	122.75	19.5	25.65
33127_at	6.65	11.25	2.85	-11.85	17	84.75	14.65	5.85
33128_s_at	-13.45	-35.9	3.25	-9	8.25	-22.25	-8.35	-25.25
33129_at	20.55	14	30.5	44.75	40.35	16.75	34.75	51.1
33130_at	17.25	23.65	-18.85	-29.25	-5.9	6.5	-8.55	16.75
33131_at	58.6	104.55	2830.35	3716.75	102.35	111.75	-22.9	-19.75
33132_at	124.1	320.4	94.3	125.35	215.4	575.75	35.1	80.75
33133_at	60.65	224.25	35	35.75	58.3	290.75	49.5	66.1
33134_at	150.25	192	135.75	128.75	-13.85	39.65	-51.95	-68.5
33135_at	74	59.4	103.75	105.1	202.15	264.5	124.9	193.25
33136_at	67.6	113.1	86.75	79.1	20.65	65.6	47.15	48.35
33137_at	232	387.75	326.75	408.7	270.9	647.5	145.75	384.75
33138_at	6.25	-8.15	-8	-9.1	-3	-11.9	-18.85	-13.65
33139_s_at	16.3	22.55	21.5	36.15	-0.4	0.15	-12.5	-38.15
33140_at	1086.35	1808.5	176.25	238.4	-20.65	-43.6	13	5
33141_at	6.25	17.75	7.1	6.9	-31.5	-73.25	-5.65	10.2
33142_at	21.8	61.15	48	89.6	55.35	65.8	67.45	211.25
33143_s_at	-37.75	17.25	-33.4	-39.7	287.5	735.35	-20.9	-44.5
33144_at	-72.15	-199.1	-102	-127.55	-56.25	-280.35	-56.5	-177
33145_at	-60.65	-65.75	-89.65	-52.25	-32.9	-223.65	-52.6	-231.5
33146_at	97	146.6	279.4	540.15	520.6	1562.55	78.5	60.6
33147_at	25.05	37.25	1.75	1.9	30.9	42.55	10.25	-4.9
33148_at	34.75	37.25	61.3	81	27.25	57.25	0.4	-0.5
33149_at	39.5	21.35	49.9	56.65	27.05	102.1	30.45	44.25
33150_at	121	137.85	93.25	152.65	21	61	8.75	13
33151_s_at	70.2	85.15	114	103.85	56.15	83.05	48.5	89.85
33152_at	-6.75	7.3	15	20.9	-8.5	32.65	-19.65	-3.85
33153_at	-21	-45.35	-28.65	-27	-6.5	-29	-8.5	-15
33154_at	623.65	887.9	389.65	687.5	655.25	1058.75	502.1	738.9
33155_at	1.85	-13.25	1.75	-40.4	6	-54.95	-55.4	-73
33156_at	10.95	22.95	18.65	-51	16.5	107	13.35	-66.2
33157_at	32.5	50.35	200.75	274	0.75	0.6	1	9.05
33158_at	55.35	56.75	245.5	356.85	0.15	32.25	2	9.75
33159_at	-46.1	-5.35	-21.75	-7	-12.4	-28.75	-40.75	-19.75
33160_at	-118.35	-80.75	-74.35	-66.85	-29.5	-192.35	-62.15	-107.4
33161_at	4.75	26.15	30.6	35.5	56.1	88.35	107.85	142
33162_at	86.1	86	141	138.5	143.4	308.5	79.5	214.65
33163_r_at	10.05	36.5	1	25	82.85	231.5	5.85	-7.5
33164_at	13.7	21.15	15.5	21.5	17	50.8	4.2	16.15
33165_at	-0.3	55.65	-11.65	3.25	17.65	31.5	-5.15	-1.5
33166_at	50	27.85	24.5	40.25	13.4	50.9	-2.6	9
33167_r_at	5.4	16.55	27.15	39.75	34.25	25	13.15	25.6
33168_at	70.15	72	44.65	44	58.65	25	97.25	101.6
33169_at	72.1	75.85	253.9	335.85	8.5	5.15	-8.65	21.5
33170_at	126	196.25	115.75	106.5	25.3	126.6	34.4	42.25
33171_s_at	-13.75	-24.75	0.7	12.6	-17.25	-33.1	-8.1	-8.35
33172_at	42.75	25	278.8	325.65	31.75	-20.25	-20.75	21.35
33173_g_at	62.25	102.75	551.4	736.5	54.25	164	20.6	3.85
33174_s_at	10.85	34.75	28.1	30.5	23.5	54	16.6	65.7
33175_at	20.25	40.5	24.1	48.65	0.75	3.75	-2.5	-2.85
33176_at	16.4	-27.1	-31.25	4.6	-23.6	-81.65	-7	-94.4
33177_at	-109.85	-71	8.5	-1.6	-37.25	-49.65	-76.85	-88.15
33178_at	181.6	297.1	175.25	173	173.1	335.6	167.65	377.15
33179_at	45.85	33.4	77.9	91.25	27.15	52.15	4	53.65
33180_at	58.5	73.35	103.85	135.35	8.9	53.5	-10.15	-20.5
33181_at	28.25	26.75	18.6	43.25	9	15.4	8.35	-11.25
33182_at	304.75	234.25	81.25	133.75	-6.45	15.35	4.25	17.35
33183_at	-48.75	-152.55	18.75	40.5	116.5	297	481.75	791.9
33184_at	-39.15	-28.6	-8.05	-39.25	31.9	113.5	-2.85	24.35
33185_at	6.1	19.75	0.65	37.75	12.75	6.9	-14.9	14
33186_i_at	50.5	71.7	44.8	33.2	19.7	18.7	-10	12.5
33187_r_at	1	-2.4	-2.5	6.15	6.75	2.35	-4.75	4
33188_at	161.5	280.6	306.1	302.65	74.85	135.75	22.25	66
33189_at	25	15.65	33.65	44	31.35	47.2	-2.65	36.45
33190_g_at	-4.35	2.3	-9.5	-8.25	-27.85	-0.85	-14.85	-35.65
33191_at	24.35	17	14.85	52	7.65	13.9	-8.15	-5.15
33192_g_at	78.75	80	122.4	106.75	16.75	77.1	5	6.5
33193_at	17.85	20.2	19.5	18	41	152.25	17.5	26.15
33194_at	9.35	3.9	6.25	4.65	12.85	11.9	-6.25	-18.5
33195_at	29.5	46	15	40.9	180	455.5	174.95	320
33196_at	11.4	32	1.05	40.9	19.15	22.7	13.25	9
33197_at	52.85	55	50.1	99.6	84.9	170.15	92.75	217.1
33198_at	990.25	1524.4	457.85	622	354	707.75	171	244.25
33199_at	-5.65	33.5	67.25	56.5	-1.5	7.65	1.25	-5
332_at	10.85	-5.5	21	-4.5	26	14.85	-2	-20.25
33200_at	21.1	71.4	93.5	78.1	67.35	196.15	50	200.25
33201_at	21.5	0.1	33.25	3.25	41.3	63.85	135.65	80.35
33202_f_at	12.25	10.9	15.85	-9	51.75	66.25	32.75	63.9
33203_s_at	28.85	48.5	46.5	4.35	6.75	35.75	12.05	119.8
33204_at	14	-1.9	-0.35	55.4	5.4	26.15	20.75	-16.6
33205_at	29.5	29.15	54	43.85	44.25	65.15	24.75	53.35
33206_at	79.9	257.9	109.65	95.25	45.5	64.75	14.65	30.3
33207_at	379.5	614.9	624.75	745.5	341.65	734.35	66.35	374.75
33208_at	13.85	35.75	29.25	37	34.4	70.5	20.25	44.25
33209_at	18.25	14.65	13.5	-4.35	-8.95	24.5	0.45	2.85
33210_at	13	6.75	6.9	-1.5	20.5	19.75	1.5	12.1
33211_at	44.65	59.2	77.5	50.9	-78.85	25.25	-68.25	2.8
33212_at	-42.15	-9.1	-12.5	-30.4	267.5	698.5	113.6	142.9
33213_g_at	114.5	185	159.6	134.35	478.4	1078.35	264.75	475.85
33214_at	152.4	357.65	72.85	99.75	198.65	426	164.65	326.65
33215_g_at	524.6	997.6	231.6	281.15	745.25	1353.5	487.5	984.15
33216_at	54.3	17	-5.1	2.75	45.25	-17.4	-2.35	63.75
33217_at	57	69.35	162.25	177.4	221.25	370.4	59.75	461.9
33218_at	-28	20.5	-16.7	-45.15	19.15	105.15	48.25	71.9
33219_at	201.6	219.5	521.95	740.5	34.25	93	-1	-3.65
33220_at	46.5	55.1	120.25	156.45	41.8	47.5	28.75	74.25
33221_at	62.75	65.85	170.65	180.15	67	196.75	19.35	24.9
33222_at	-0.4	21.5	47.65	46.5	25.8	17.65	2.4	16.65
33223_at	733.4	1675.6	179	198	146.85	257.6	82.1	246.25
33224_at	38.5	68.75	27.75	-5.9	-34.65	-10.85	3.65	-34.35
33225_at	34.4	137.6	69.35	74.1	50.25	68.5	19.35	79.75
33226_at	99.75	142.55	225	298.9	12.25	157.15	29.1	182.5
33227_at	8.15	22.25	14.6	21.35	44.25	67.75	20.9	61.85
33228_g_at	62.35	93	162.75	172.5	228.4	598.5	84.85	225.05
33229_at	25.9	73	45.9	75.5	78.25	189	12.35	42.4
33230_at	79.35	29.25	195.4	215.35	155.15	311.85	-21	-76
33231_at	140	117.95	116.5	106	51.7	214.05	106	135.15
33232_at	81	132.75	-1.9	37.4	97	150.85	51.75	61.25
33233_at	4.85	5.5	-10.15	3.9	-6.15	-8	-15.45	-43.25
33234_at	11.5	25.85	63.5	65	22.9	-4	3.35	-19.15
33235_at	182.25	192.65	737.5	1064.5	15.25	16.6	5	-6.4
33236_at	32.55	48	-16.85	17	-0.35	58.5	211.8	383.9
33237_at	20	7	120.5	158.1	34.4	49.75	1.5	-7.35
33238_at	-27	-5	-28.15	-33.4	0.1	-9.85	32.9	8.6
33239_at	-6.15	3.5	21.75	16	-7.5	-2.25	-8.25	4.15
33240_at	143.5	215.15	374.35	429.6	-9.75	-5.5	-12.85	-19.35
33241_at	153.5	154.5	39.35	47.25	4.1	13	19.5	32
33242_at	123.4	143.5	13.75	42.5	23.25	32.5	33.75	13.4
33243_at	40.5	41.75	41.15	42.85	79.25	205	30.35	62.25
33244_at	234.85	237.05	582.15	781.05	73	175.1	40.4	16
33245_at	-10.1	36.25	-18.65	-68.8	8.15	-8.5	-32.35	-81.75
33246_at	-4.9	3.15	19.65	-2.5	13.8	-13.4	6	16.25
33247_at	156.9	144.85	202	312.5	46.35	93.75	10.5	-17.15
33248_at	10	16.45	2.15	-13.15	30.8	-15.75	8	23.4
33249_at	110.85	119.25	28.9	35.6	40.25	8.5	23.75	33.65
33250_at	-18.35	37.35	-4.95	1.9	-10.15	64.6	2.85	-19
33251_at	104.1	303.75	232.15	385.25	85	133.25	5.15	11
33252_at	23.65	31.75	-2.75	26.15	45.5	144.1	-16.1	-34.35
33253_at	3.25	43.75	-10.75	1.1	61	169.5	61.9	139.1
33254_at	24.5	26.5	22.5	35.85	5.95	-2.5	7	-6.35
33255_at	54	85.5	221	302.75	102.75	199.5	5.15	-1.35
33256_at	78.15	66.35	36.3	38	-23.85	-21.45	1.6	-36
33257_at	-3.85	-2.7	6.25	5	9.1	18.45	-7.65	20.15
33258_g_at	71.1	50.4	51.6	117	233.25	429.6	18.5	-6.25
33259_at	-22.5	-15.25	-26.5	-19.1	-18.65	-29.15	-2	-5.4
33260_at	13.65	12.5	24.25	46.5	13.15	26.15	-8.5	6.75
33261_at	553.4	868.5	308.6	249.1	464.35	915	262.6	603.65
33262_at	-6.15	-4.35	24.35	29.1	46.65	107	5.45	-9.1
33263_at	-9.4	19.9	24.4	28.25	19.05	68.2	16.15	5
33264_at	10.1	17.25	-9.65	-0.15	12.35	60.1	7.65	19.5
33265_at	10.75	5.75	41.25	36.25	14.75	48.15	15.9	8.6
33266_at	24.5	71.25	169.2	227.75	473.75	918.25	50.35	314.6
33267_at	214.9	153.15	150.5	271.4	-8.45	-21.4	-3.2	-17.1
33268_at	278.6	494.75	443.4	401	216	507.9	148.65	376.5
33269_at	63.4	204.75	21.9	60.25	227.6	397.25	68.4	51.05
33270_i_at	-11.1	4.5	3.15	-13.1	-16.65	-24.05	-8.1	-20.1
33271_r_at	3.65	9.75	26.75	26.65	-1.6	7.25	0.15	10.5
33272_at	15.5	-1.75	9.75	-15.95	3273.5	6626	299.75	683.85
33273_f_at	11	53.85	69.65	48.9	199.4	324.65	1080.85	1504.75
33274_f_at	-55.85	-20.5	41.4	-26	113.9	222.75	861.4	1452.35
33275_at	101	206	170.65	170.65	77.25	179.65	66.2	162
33276_at	-1.95	6.25	10.15	21.85	9.25	18.25	8.2	15.85
33277_at	73.95	52.4	44.4	56.65	7.65	25.25	7.85	26.5
33278_at	2	3.85	0.85	6.5	11.65	50.85	6.15	-2.85
33279_s_at	-3.65	-22.5	25.4	-12.25	9	16.25	-8	-4.6
33280_r_at	38.3	8.65	12.25	13.4	26.6	74.6	18.5	34
33281_at	122.9	100.5	56	30	138.15	246.4	61.4	226.5
33282_at	-93	-155.5	-30.5	-38.6	1.5	125.1	-1.35	15.15
33283_at	322	449.3	175.9	206.05	91.65	246.75	3.25	44
33284_at	25.45	41.5	29.25	27.2	1298.35	3009.7	27.1	35
33285_i_at	-14	5.5	28.5	30	6.5	62.3	1.7	10.5
33286_at	-39.85	-42.25	-56.7	-78.25	-43.05	-110.4	-48.25	-86.1
33287_at	33	-7.75	-116	-65.35	-46.75	30.65	28.1	9.35
33288_i_at	26.4	49	14.65	6.5	29.85	40	3.35	23.65
33289_f_at	56.4	71	25.65	46.25	-2.5	35.9	1.75	-91
33290_at	23.6	23.65	11.8	39.85	41.5	86.6	9.6	-4.5
33291_at	139.6	118.75	65.5	145.1	-9.75	-6.4	10.15	-7
33292_at	190.35	457.2	70.85	128.75	-27.1	22.25	31.85	28.5
33293_at	1592.4	3126	247.15	162.4	115.75	310.3	-141.3	-171.35
33294_at	99.5	184.1	89.4	125	111.15	285.85	66.5	14.35
33295_at	125.25	132.75	140.65	160.5	421.6	846.6	43	185.5
33296_at	13.75	43.65	28.55	53.5	17.75	74.75	-5.5	-1.85
33297_at	79.25	70.15	96.55	135.9	74.75	179.1	33.1	52.5
33298_at	-9.45	6.1	20.1	5.15	-16	26.25	3.5	-0.65
33299_at	19.85	62.65	34.75	68.85	10.15	23.1	17.15	38.5
333_s_at	60.25	52.5	56.25	54.75	66.15	118.4	26.15	76.85
33300_at	269.4	316.35	384	346.75	321	509.35	161.6	506
33301_g_at	176.65	280.55	215.85	311.05	198.85	323.15	59.65	285
33302_at	-1.75	18.5	16.25	17	20.65	12	5.85	-1.1
33303_at	4.6	17.4	-1.25	18.1	-47.65	-12.75	-1.85	-20.75
33304_at	-36.1	7	-12.5	-17	134.85	191.65	5.05	30.65
33305_at	-1.5	19.5	11.65	4.25	110.85	401.85	-10	32.85
33306_at	13.65	8	45.1	53.6	-11.25	26	0.3	16
33307_at	36.35	86.15	90.6	26.5	108	244	37.25	-66.75
33308_at	187.4	262.5	132.65	179.5	456	1021.75	674.65	884.65
33309_at	7.6	4.75	52.9	36.65	-17.25	-3.9	-3.65	-2.4
33310_at	6.25	4.4	3.9	6	1.15	-4.9	-7.65	-6.6
33311_at	-23	28.5	53.15	36	46.15	54	122	83.5
33312_at	9.65	-6.75	64.35	44.1	27.1	29.6	54.35	200.15
33313_g_at	5.75	3.85	3.25	-8.85	24.75	-30.9	119.65	173
33314_at	47.1	38	7.9	39.5	96.4	126.15	145	159
33315_at	20	41.5	67.75	68.9	41.35	61.75	17.6	59.35
33316_at	45.65	63.85	59.9	54.8	11.5	-10.15	-11.5	10
33317_at	49.3	29.5	45	33.5	1.5	56.85	7.85	28.15
33318_at	43.35	13.1	29.65	42.75	15.15	61.9	16.85	69.85
33319_at	-20.5	43.05	47.25	28.9	9	12.65	-5.6	-112.65
33320_at	12.4	6.25	2.4	-12.15	22.85	30.15	9.8	14
33321_r_at	64.25	123.65	118.85	34.1	88	73.65	14.15	132.3
33322_i_at	219	206.5	555.25	555.95	433.5	850.25	237	730.1
33323_r_at	172.4	208.75	338.75	283.15	264.9	455.7	153.85	430.05
33324_s_at	11.5	7.35	9.25	-1	13.15	66.15	5.65	-8.5
33325_at	360.25	596.6	192.35	281.65	14.1	49.6	1.4	30.65
33326_at	61.9	71	21	89.5	1.25	-4.5	-9.35	-134.9
33327_at	798.1	1648.15	99.4	126	128.85	241.9	114.35	354.25
33328_at	159	266.4	118.9	159.75	57.35	116.25	12.3	14.95
33329_at	1.85	43.35	33.65	-19.95	55.6	57	21.35	194
33330_at	0.3	-7.65	46	25.5	-4.15	-9.2	-7.4	10.25
33331_at	4.5	-1.15	-48.5	-36.25	-37.5	40.6	17.15	44.75
33332_at	-110	-96.25	-127.6	-25.15	-94.35	-261.5	11.25	-41.25
33333_at	239.4	254.25	112.25	121.45	15.1	51.65	14.75	33
33334_at	86.75	76.5	152.5	250.75	38.75	96	-8.25	4.75
33335_at	-41.85	-76.5	-111.65	-144	-6.25	-29.4	-16.25	-59.75
33336_at	-34.15	0.85	0.1	12.25	3794	8193.5	6.3	15.75
33337_at	587.15	801.35	274.9	410.4	148.15	293.4	27	15
33338_at	-4.75	8.65	-20.1	-8.75	34.15	82.65	-5.4	5
33339_g_at	52.5	32.85	35.25	36.1	53.75	108.75	11.15	42.65
33340_at	1017.4	1101.25	1036.8	1407	124.65	277.75	11.4	32.9
33341_at	1630.15	2009.75	1472	1934.35	241.65	642.65	66.65	145.75
33342_at	36.5	55.25	-16.15	18	-9	7.6	-15.3	-104.25
33343_at	209.1	228.7	190.65	273.1	104.85	230.6	20.5	32.55
33344_at	-3	19.1	12	2.65	16.8	36.55	7.9	9.25
33345_at	1416.5	3047	1052.35	1337.25	172.85	157.85	29.85	56.25
33346_r_at	492.5	1064.6	280.5	298.15	685.5	1640	287.4	522
33347_at	221.45	323	147.95	274.5	174.6	410	176.25	160.65
33348_at	100.9	98	306.25	407.85	68.15	133.35	17.9	38
33349_at	122	98.15	282.35	421.4	133.75	131.15	56	202.25
33350_s_at	16.25	45.15	9.6	57	89.25	302.1	7.5	1.9
33351_at	222.85	395.1	444.25	548.25	131.25	439.9	75.4	100.9
33352_at	75.1	94.5	246.65	211.5	97.9	301.4	34.35	107.35
33353_at	321.65	691	2128.6	3033	-7.4	34.65	41.1	42
33354_at	66.15	63.35	155.9	175.15	64.25	101.95	11	24.15
33355_at	156.85	237.1	684.75	892.65	39.85	83.75	0.85	12.9
33356_at	-6	12.1	4	-7	-17.5	-35.1	-9.65	4.65
33357_at	772.5	979.3	781	1185	94.6	439.35	43.5	66.75
33358_at	454.5	643	76.65	117.35	71.15	114.15	36.75	49.1
33359_at	75.25	109.9	154.05	437.75	16.15	15.1	12.5	21.75
33360_at	178.75	315	209.25	286.1	59.5	197	29.15	42.4
33361_at	1209.85	2043.5	347.4	476.85	139.65	135	252.75	248.6
33362_at	64.15	64	183.05	248.15	10.5	61.1	26	55.6
33363_at	10	49.9	17.5	36.85	35.85	57.75	10.1	-14.25
33364_at	78	67.85	120.95	184.2	10	40.25	-6.5	44.25
33365_at	103.4	129.5	78.85	106	73.35	86.5	52.9	107.75
33366_at	105.15	140.25	125.95	124.8	142.65	235	102.5	253.85
33367_s_at	104.05	181.45	457.5	574.05	29.3	102.4	8.15	0.35
33368_at	172.35	244.75	364.25	528.25	53.1	208.85	25.25	26.65
33369_at	250.6	241.5	642.45	757.95	1190.85	3361.6	71.3	223.35
33370_r_at	30.9	21.15	178.25	220.25	224.35	763.6	9.6	37.75
33371_s_at	581.6	412.85	256.5	395.9	75.1	188.75	45.25	11.5
33372_at	109.4	243.9	291.7	346.1	16.75	-7.25	28.35	2.65
33373_at	14	7.5	178.6	210.85	-5.25	25.5	-0.05	-12.4
33374_at	27.6	41.5	31.9	23.75	1293	3010.5	1815.9	3178.15
33375_at	-3.6	12.6	-5.1	33.15	-12.4	10.55	-5.6	-9.45
33376_at	18.65	18.5	33.25	41.25	0	50	17.55	21.1
33377_at	-15.85	24.2	11.15	0.9	15050.85	20919.25	19334.25	18242.4
33378_at	26.15	32.15	59.85	128.5	1.85	33.65	-0.3	4.4
33379_at	10.4	16	27.5	23.1	-12.5	-10.05	-0.2	-20.65
33380_at	148.55	271.35	193.5	312.35	39.4	127.1	12.4	13.35
33381_at	32.75	48.6	103.65	156.4	37.15	202.5	29.6	88.75
33382_at	-17.6	-4.1	-1	12.1	15	58	82.4	199.25
33383_f_at	-40.7	2.3	42	6	-24.7	8.5	3.5	23.8
33384_at	11.25	11.75	4	-5.85	11.35	-6.15	-5.5	-29.1
33385_g_at	32.5	27.75	29.75	23.35	47.9	213.85	34.2	17.85
33386_at	238.4	206.65	329.4	404.4	774.5	1748.1	219.4	220.25
33387_at	852.25	1758.15	449.5	630.9	18.25	45.6	7.25	1.25
33388_at	484.5	887.25	425.75	511	285.25	555	380.75	804.5
33389_at	66.6	70.5	176	240.25	168.25	419.2	41.4	100.1
33390_at	47.6	36.5	30.6	1.25	295.6	531.75	135.05	201.65
33391_r_at	-28.1	19	41.75	48.65	30.15	78.15	31.25	26.7
33392_at	270.4	422.75	200.5	332.4	158	258.5	121.5	202.5
33393_at	71.25	183.4	88.5	74.15	207.25	503.4	93.65	133.5
33394_at	130.5	222.4	167.25	254.65	160.25	502.25	63.6	179.9
33395_at	-344	-278.6	-356.75	-497.15	-313.6	-408.15	-342.1	-883.9
33396_at	764.25	1109.25	471.1	640.5	235.15	669.1	110	254.4
33397_at	1129	2011.35	610	664.15	493.35	1173.5	510.35	615.75
33398_at	138.35	138.25	198.15	262.9	80.5	173.1	77.75	138.4
33399_at	199.75	293.6	159.25	220	108.6	258.15	45.25	77.6
334_s_at	75.25	11.6	6.75	30.9	-23.5	2.1	-10.05	-3.85
33400_r_at	9	2.75	4.85	16.35	6.75	6.1	6.75	5.35
33401_at	-22	-14.9	-18.25	-21.6	36	67.05	31.4	47.15
33402_at	-15.6	-5.9	-15.05	-3.9	24.5	69.55	-5.25	-4.5
33403_at	132.2	209.75	161.4	279.6	-4.5	64.95	-1	16.85
33404_at	696	896.25	222.35	395.15	-18.35	-28.75	-22.75	-50
33405_at	834.15	994.4	414.75	593.1	17.6	41.75	8.5	15.15
33406_at	11.5	92.5	9.85	52.65	-62.5	47.25	7	-15.5
33407_at	25.25	36.1	55.75	82.6	9.15	7.65	-1.5	6.9
33408_at	441	637.15	459.5	589.4	68.9	118.6	30.9	155
33409_at	1009.75	1239	161.75	222.85	883	1777.75	959.9	1584.75
33410_at	2.9	-1.1	20.6	40.5	7.9	-20.45	-7.3	-36.9
33411_g_at	12.75	11.6	38.75	47.6	2	44	2.6	21
33412_at	1235.65	2082.1	196.25	349.25	298.65	811.6	771.85	968.1
33413_at	40.25	81.75	136.85	158	136.75	404.9	29.65	5.5
33414_at	567.5	1216.35	164.15	228.05	169.75	287.6	92.5	78.15
33415_at	934	1249	887.9	1241.15	726	1481.65	447.4	533
33416_at	78.25	72.5	42.85	47.5	207	344.85	74.35	243.15
33417_at	41.35	66.15	89.95	127.65	18.25	65.5	-7.85	4.3
33418_at	434.35	340.1	331.25	496.15	23.9	160.6	6.5	27
33419_at	20.65	-6.75	7.1	8.65	27.4	21.5	0	-6.2
33420_g_at	7.5	21.25	34.9	38.1	4	27	12.1	6.4
33421_s_at	77.25	118.5	132.4	187.05	74.85	194.4	42.5	6
33422_at	40.25	93.15	92.95	123.5	190.85	299	48.15	103.25
33423_g_at	93.1	175.25	63.75	115.65	192.35	304.95	64.5	46.5
33424_at	37.6	134.5	66	126.15	174	489.1	109.25	258.4
33425_at	746.35	1633.1	1210.6	1562.75	851.5	1467	460.6	1178.4
33426_at	212.15	273.5	179.5	224.65	8.35	43.75	-4.4	5.55
33427_s_at	33.75	26.75	29.75	50.25	43.75	183.75	55.9	19.5
33428_s_at	-35.5	-4.05	-32.25	-13.9	-34	-24.15	-12.15	-47.65
33429_at	87	302.85	299.25	389.35	175.65	460.2	3.5	13.5
33430_at	21.9	37.65	-9	20.15	29.35	28.6	-44.45	-136.1
33431_at	-49.5	-14	-35.85	-36.65	-37.5	-18	-2.1	-64.5
33432_at	63.25	68.5	98	55	100.1	223.6	35.8	97.85
33433_at	88.6	216.4	103.5	149	16.5	62	11.15	24.35
33434_at	10.15	14.3	26.25	55.55	-4.4	48.5	26	6.5
33435_r_at	12.65	8.85	38	41.35	23.65	89.75	10.5	50
33436_at	126.25	284.25	420.75	462	18.95	65.65	14.6	34.15
33437_at	87	83.95	93.85	129.1	27.25	139.5	27.35	52.4
33438_at	1081.4	1894.75	588.6	639.85	722.75	1228	273.4	1116.15
33439_at	72	239.9	123.5	173.75	523.65	1163.9	45.25	59.75
33440_at	114.4	112.6	255	366.9	4	34.5	-3.85	-10.7
33441_at	260.75	453.25	28.75	12.5	31.5	16.05	194.75	408.6
33442_at	184	200.25	82.65	170.35	16.75	20.5	13	13.75
33443_at	429.65	541.25	989.9	1375.65	188.35	512.5	42.75	77.15
33444_at	109.4	141.25	119.5	162.5	99.4	148.4	34	35
33445_at	-14.15	21.6	3.35	13.1	-2.35	-11.75	-26.4	-15.75
33446_at	240	377.5	197.85	247.15	134.65	322	88.6	140.5
33447_at	87.6	69.15	115.6	150.5	614.15	1479	280.7	589.25
33448_at	73.85	149.75	223.5	170.35	249	577.9	51.2	123.25
